"Date","TrackID","RaceNumber","surfaceDescription","HorseName","ProgramNumber","PostPos","MLodds"
"2020-06-09","ARP","1","Dirt","La Hot Spice"," 1 ","1","6-1"
"2020-06-09","ARP","1","Dirt","Southernstylemission"," 2 ","2","10-1"
"2020-06-09","ARP","1","Dirt","Dubdeuce"," 3 ","3","5-2"
"2020-06-09","ARP","1","Dirt","Anip of Black Velvet"," 4 ","4","10-1"
"2020-06-09","ARP","1","Dirt","Maggie Ann Murphy"," 5 ","5","12-1"
"2020-06-09","ARP","1","Dirt","Mister Audacious"," 6 ","6","20-1"
"2020-06-09","ARP","1","Dirt","Capos Sassy Laaydee"," 7 ","7","9-2"
"2020-06-09","ARP","1","Dirt","A Cozzy Corona"," 8 ","8","7-2"
"2020-06-09","ARP","1","Dirt","Blaak Magic"," 9 ","9","15-1"
"2020-06-09","ARP","1","Dirt","Lucky Streak","10 ","10","10-1"
"2020-06-09","ARP","2","Dirt","Sursetta"," 1 ","1","6-1"
"2020-06-09","ARP","2","Dirt","Miss the Flash"," 2 ","2","9-2"
"2020-06-09","ARP","2","Dirt","Jess Golondrina"," 3 ","3","15-1"
"2020-06-09","ARP","2","Dirt","Legends On Fire"," 4 ","4","8-1"
"2020-06-09","ARP","2","Dirt","Aces Streekin Jesse"," 5 ","5","9-2"
"2020-06-09","ARP","2","Dirt","Eye My Game"," 6 ","6","7-2"
"2020-06-09","ARP","2","Dirt","Mk Buck Naked"," 7 ","7","8-1"
"2020-06-09","ARP","2","Dirt","Apollitical Stunner"," 8 ","8","12-1"
"2020-06-09","ARP","2","Dirt","Dance Down Diva Vc"," 9 ","9","20-1"
"2020-06-09","ARP","3","Dirt","Justice Jean"," 1 ","1","9-2"
"2020-06-09","ARP","3","Dirt","Kool Queen"," 2 ","2","20-1"
"2020-06-09","ARP","3","Dirt","Itybityquikasakity"," 3 ","3","8-1"
"2020-06-09","ARP","3","Dirt","Whata Gem"," 4 ","4","15-1"
