"Date","TrackID","RaceNumber","surfaceDescription","HorseName","ProgramNumber","PostPos","MLodds"
"2020-06-11","BEL","1","Dirt","Brees Bayou"," 1 ","1","5-1"
"2020-06-11","BEL","1","Dirt","Point of Humor"," 2 ","2","6-1"
"2020-06-11","BEL","1","Dirt","Tri Saint Lorenzo"," 3 ","3","10-1"
"2020-06-11","BEL","1","Dirt","Ink Splotz"," 4 ","4","8-1"
"2020-06-11","BEL","1","Dirt","Yankee Empire"," 5 ","5","8-1"
"2020-06-11","BEL","1","Dirt","Speaking of Credit"," 6 ","6","30-1"
"2020-06-11","BEL","1","Dirt","Verify"," 7 ","7","15-1"
"2020-06-11","BEL","1","Dirt","Eagles Palace"," 8 ","8","9-5"
"2020-06-11","BEL","1","Dirt","Warfront Fighter"," 9 ","9","4-1"
"2020-06-11","BEL","2","Dirt","Promo Code"," 1 ","1","12-1"
"2020-06-11","BEL","2","Dirt","Septimius Severus"," 2 ","2","10-1"
"2020-06-11","BEL","2","Dirt","Vintage Hollywood"," 3 ","3","9-2"
"2020-06-11","BEL","2","Dirt","Who's in Charge"," 4 ","4","5-2"
"2020-06-11","BEL","2","Dirt","Cavaradossi"," 5 ","5","8-1"
"2020-06-11","BEL","2","Dirt","Stage Left"," 6 ","6","4-1"
"2020-06-11","BEL","2","Dirt","Blacktop Legend"," 7 ","7","7-2"
"2020-06-11","BEL","2","Dirt","Tapizearance"," 8 ","8","8-1"
"2020-06-11","BEL","3","Dirt","Ventus","1  ","4","9-2"
"2020-06-11","BEL","3","Dirt","Luxury Suite","1A ","5","9-2"
"2020-06-11","BEL","3","Dirt","Future Book","2  ","1","7-2"
"2020-06-11","BEL","3","Dirt","Kadens Courage","3  ","2","8-1"
"2020-06-11","BEL","3","Dirt","Dangerous Edge","4  ","3","4-1"
"2020-06-11","BEL","3","Dirt","Coolboy","5  ","6","20-1"
"2020-06-11","BEL","3","Dirt","Mandatory Payout","6  ","7","9-2"
"2020-06-11","BEL","3","Dirt","Dr. Devera's Way","7  ","8","6-1"
"2020-06-11","BEL","3","Dirt","Soul Fight","8  ","9","12-1"
"2020-06-11","BEL","3","Dirt","Principal Dancer","9  ","10","8-1"
"2020-06-11","BEL","4","Dirt","Dee Jay"," 1 ","1","12-1"
"2020-06-11","BEL","4","Dirt","Ownitifyouwantit"," 2 ","2","5-1"
"2020-06-11","BEL","4","Dirt","Critical Review"," 3 ","3","15-1"
"2020-06-11","BEL","4","Dirt","Uncle Moonlight"," 4 ","4","8-1"
"2020-06-11","BEL","4","Dirt","Uncle Ned"," 5 ","5","50-1"
"2020-06-11","BEL","4","Dirt","Ajhar"," 6 ","6","7-2"
"2020-06-11","BEL","4","Dirt","Cousin Andrew"," 7 ","7","8-5"
"2020-06-11","BEL","4","Dirt","Creed"," 8 ","8","3-1"
"2020-06-11","BEL","5","Dirt","Saratoga Affair"," 1 ","1","5-1"
"2020-06-11","BEL","5","Dirt","Master of Hope"," 2 ","2","8-1"
