"Date","TrackID","RaceNumber","surfaceDescription","HorseName","ProgramNumber","PostPos","MLodds"
"2020-06-08","ARP","1","Dirt","Dg Favorite"," 1 ","1","5-2"
"2020-06-08","ARP","1","Dirt","Runaway Traffic"," 2 ","2","20-1"
"2020-06-08","ARP","1","Dirt","Wagonfullofdarlings"," 3 ","3","6-1"
"2020-06-08","ARP","1","Dirt","Tidal"," 4 ","4","8-1"
"2020-06-08","ARP","1","Dirt","Carrington Dash"," 5 ","5","20-1"
"2020-06-08","ARP","1","Dirt","Rjt Heres Ur Sign"," 6 ","6","7-2"
"2020-06-08","ARP","1","Dirt","Poppys Return"," 7 ","7","4-1"
"2020-06-08","ARP","1","Dirt","Tres Seis Commotion"," 8 ","8","5-1"
"2020-06-08","ARP","1","Dirt","Shmack Daddy Acklam"," 9 ","9","15-1"
"2020-06-08","ARP","1","Dirt","Condone","10 ","10","6-1"
"2020-06-08","ARP","1","Dirt","Prisesatocash","11 ","11","15-1"
"2020-06-08","ARP","1","Dirt","Cartels High","12 ","12","15-1"
"2020-06-08","ARP","1","Dirt","He too Looks Hot","13 ","13","20-1"
"2020-06-08","ARP","1","Dirt","A Chabanero","14 ","14","10-1"
"2020-06-08","ARP","2","Dirt","Saxon Lord"," 1 ","1","5-1"
"2020-06-08","ARP","2","Dirt","Southern Mojo"," 2 ","2","8-1"
"2020-06-08","ARP","2","Dirt","C C Express"," 3 ","3","6-1"
"2020-06-08","ARP","2","Dirt","Chilango"," 4 ","4","12-1"
"2020-06-08","ARP","2","Dirt","Fine With Me"," 5 ","5","8-1"
"2020-06-08","ARP","2","Dirt","R Dub"," 6 ","6","7-2"
"2020-06-08","ARP","2","Dirt","Da Grump"," 7 ","7","9-2"
"2020-06-08","ARP","2","Dirt","Holy Clem"," 8 ","8","4-1"
"2020-06-08","ARP","3","Dirt","Neptune's Seal"," 1 ","1","15-1"
"2020-06-08","ARP","3","Dirt","Maximus the Great"," 2 ","2","9-2"
"2020-06-08","ARP","3","Dirt","Rolls Royce Deal"," 3 ","3","5-1"
"2020-06-08","ARP","3","Dirt","Shooters Alley"," 4 ","4","7-2"
"2020-06-08","ARP","3","Dirt","Bob's All In"," 5 ","5","5-2"
"2020-06-08","ARP","3","Dirt","Cowboy Don"," 6 ","6","5-1"
"2020-06-08","ARP","3","Dirt","Music Giant"," 7 ","7","8-1"
"2020-06-08","ARP","3","Dirt","Nevadan"," 8 ","8","6-1"
"2020-06-08","ARP","3","Dirt","Love Solution"," 9 ","9","5-1"
"2020-06-08","ARP","4","Dirt","Faith in Excess"," 1 ","1","5-1"
"2020-06-08","ARP","4","Dirt","Tell It Again"," 2 ","2","8-1"
"2020-06-08","ARP","4","Dirt","Flashin the Cash"," 3 ","3","5-2"
"2020-06-08","ARP","4","Dirt","Shiverhertimbers"," 4 ","4","9-2"
"2020-06-08","ARP","4","Dirt","Fire the Nurse"," 5 ","5","20-1"
"2020-06-08","ARP","4","Dirt","Dusty Sky"," 6 ","6","7-2"
"2020-06-08","ARP","4","Dirt","Quick Legend"," 7 ","7","5-1"
"2020-06-08","ARP","4","Dirt","Fancy Stockings"," 8 ","8","15-1"
"2020-06-08","ARP","4","Dirt","Joni B True"," 9 ","9","6-1"
"2020-06-08","ARP","5","Dirt","Whiskeydrunkagain"," 1 ","1","6-1"
"2020-06-08","ARP","5","Dirt","Colorful Colorado"," 2 ","2","8-1"
"2020-06-08","ARP","5","Dirt","Dugaboy Brown"," 3 ","3","15-1"
"2020-06-08","ARP","5","Dirt","Cruz'n Jack"," 4 ","4","10-1"
"2020-06-08","ARP","5","Dirt","Rockymountaintwist"," 5 ","5","7-2"
"2020-06-08","ARP","5","Dirt","Collusionist"," 6 ","6","1-1"
"2020-06-08","ARP","5","Dirt","A J Samurai"," 7 ","7","9-2"
"2020-06-08","ARP","6","Dirt","Ultimate Indian"," 1 ","1","15-1"
"2020-06-08","ARP","6","Dirt","In Charge Marg"," 2 ","2","20-1"
"2020-06-08","ARP","6","Dirt","Live Large"," 3 ","3","12-1"
"2020-06-08","ARP","6","Dirt","Morning Press"," 4 ","4","10-1"
"2020-06-08","ARP","6","Dirt","Whiskerjulep"," 5 ","5","8-1"
"2020-06-08","ARP","6","Dirt","Analyze Her Style"," 6 ","6","15-1"
"2020-06-08","ARP","6","Dirt","Pretty Kitty"," 7 ","7","5-1"
"2020-06-08","ARP","6","Dirt","Sunshine Sally"," 8 ","8","10-1"
"2020-06-08","ARP","6","Dirt","Angels On High"," 9 ","9","9-2"
"2020-06-08","ARP","6","Dirt","Irreplaceable","10 ","10","8-1"
"2020-06-08","ARP","6","Dirt","Adverse Possession","11 ","11","12-1"
"2020-06-08","ARP","7","Dirt","Kontrary Kate"," 1 ","1","20-1"
"2020-06-08","ARP","7","Dirt","Fly'n Saucer"," 2 ","2","7-2"
"2020-06-08","ARP","7","Dirt","Listen Sister"," 3 ","3","8-1"
"2020-06-08","ARP","7","Dirt","Zipzapzoom"," 4 ","4","12-1"
"2020-06-08","ARP","7","Dirt","Citi Shiner"," 5 ","5","10-1"
"2020-06-08","ARP","7","Dirt","Shesasmartypants"," 6 ","6","15-1"
"2020-06-08","ARP","7","Dirt","Sandhill Dreamer"," 7 ","7","8-1"
"2020-06-08","ARP","7","Dirt","Diamondinthegrass"," 8 ","8","5-2"
"2020-06-08","ARP","7","Dirt","She's My Fortyfive"," 9 ","9","20-1"
"2020-06-08","ARP","7","Dirt","Storm to the Wire","10 ","10","15-1"
"2020-06-08","ARP","7","Dirt","Justy","11 ","11","9-2"
"2020-06-08","ARP","7","Dirt","Rockin Marie","12 ","12","4-1"
"2020-06-08","ARP","7","Dirt","Onthe Wingsofadove","13 ","13","20-1"
"2020-06-08","ARP","7","Dirt","Top of the Podium","14 ","14","15-1"
"2020-06-08","ARP","7","Dirt","Eyes On Behold","15 ","15","15-1"
"2020-06-08","ARP","8","Dirt","Baileys Irish"," 1 ","1","20-1"
"2020-06-08","ARP","8","Dirt","Emperor's Choice"," 2 ","2","12-1"
"2020-06-08","ARP","8","Dirt","Curry Flurry"," 3 ","3","5-1"
"2020-06-08","ARP","8","Dirt","Go Little Te"," 4 ","4","8-1"
"2020-06-08","ARP","8","Dirt","Mr. B. G.'s Creed"," 5 ","5","12-1"
"2020-06-08","ARP","8","Dirt","Annie's Boy"," 6 ","6","6-1"
"2020-06-08","ARP","8","Dirt","West Dawn"," 7 ","7","7-2"
"2020-06-08","ARP","8","Dirt","Herzen"," 8 ","8","5-2"
"2020-06-08","ARP","8","Dirt","Maius"," 9 ","9","9-2"
"2020-06-08","ARP","8","Dirt","Uzi","10 ","10","8-1"
"2020-06-08","FMT","1","Dirt","Mars Curiosity"," 1 ","1","5-2"
"2020-06-08","FMT","1","Dirt","G Man Is in Town"," 2 ","2","15-1"
"2020-06-08","FMT","1","Dirt","Daring Artax"," 3 ","3","5-1"
"2020-06-08","FMT","1","Dirt","Rocketringo"," 4 ","4","3-1"
"2020-06-08","FMT","1","Dirt","Toast Time"," 5 ","5","12-1"
"2020-06-08","FMT","1","Dirt","Celta Vigo"," 6 ","6","4-1"
"2020-06-08","FMT","1","Dirt","Dance in the Rain"," 7 ","7","20-1"
"2020-06-08","FMT","1","Dirt","Topofthemountain"," 8 ","8","15-1"
"2020-06-08","FMT","1","Dirt","The Right Friend"," 9 ","9","20-1"
"2020-06-08","FMT","1","Dirt","Mickey the Moocher","10 ","10","12-1"
"2020-06-08","FMT","2","Dirt","Bling Springsteen"," 1 ","1","4-1"
"2020-06-08","FMT","2","Dirt","Tocdirtytome"," 2 ","2","8-1"
"2020-06-08","FMT","2","Dirt","Louisiana Lily"," 3 ","3","20-1"
"2020-06-08","FMT","2","Dirt","Sherry Babe"," 4 ","4","6-1"
"2020-06-08","FMT","2","Dirt","Shesgothistouch"," 5 ","5","8-1"
"2020-06-08","FMT","2","Dirt","Dreaming Silent"," 6 ","6","20-1"
"2020-06-08","FMT","2","Dirt","Hannah's Ridge Cat"," 7 ","7","30-1"
"2020-06-08","FMT","2","Dirt","Cinnafrijole"," 8 ","8","5-1"
"2020-06-08","FMT","2","Dirt","Laneys Love"," 9 ","9","2-1"
"2020-06-08","FMT","2","Dirt","Stormy Annie","10 ","10","12-1"
"2020-06-08","FMT","3","Dirt","Lady Lex"," 1 ","1","9-5"
"2020-06-08","FMT","3","Dirt","Foreign Creation"," 2 ","2","15-1"
"2020-06-08","FMT","3","Dirt","Tic Toc Toccet"," 3 ","3","3-1"
"2020-06-08","FMT","3","Dirt","Nocturnal Mission"," 4 ","4","7-5"
"2020-06-08","FMT","3","Dirt","Frugal Betty"," 5 ","5","5-1"
"2020-06-08","FMT","4","Dirt","Assembled Lady"," 1 ","1","12-1"
"2020-06-08","FMT","4","Dirt","Sassy Box"," 2 ","2","15-1"
"2020-06-08","FMT","4","Dirt","No Wine Untasted"," 3 ","3","7-2"
"2020-06-08","FMT","4","Dirt","Battle Chic"," 4 ","4","3-1"
"2020-06-08","FMT","4","Dirt","Hey Roxy"," 5 ","5","12-1"
"2020-06-08","FMT","4","Dirt","Checkerboard"," 6 ","6","4-1"
"2020-06-08","FMT","4","Dirt","Toskiko"," 7 ","7","12-1"
"2020-06-08","FMT","4","Dirt","Ship Shape Miss"," 8 ","8","5-1"
"2020-06-08","FMT","4","Dirt","Zan Creek"," 9 ","9","12-1"
"2020-06-08","FMT","4","Dirt","Sha Blush","10 ","10","15-1"
"2020-06-08","FMT","5","Dirt","Test the Water"," 1 ","1","2-1"
"2020-06-08","FMT","5","Dirt","Bud Minister"," 2 ","2","20-1"
"2020-06-08","FMT","5","Dirt","Gage On a Hundred"," 3 ","3","15-1"
"2020-06-08","FMT","5","Dirt","Special Fortune"," 4 ","4","20-1"
"2020-06-08","FMT","5","Dirt","Run Budda Run"," 5 ","5","20-1"
"2020-06-08","FMT","5","Dirt","Prince Olaf"," 6 ","6","6-1"
"2020-06-08","FMT","5","Dirt","Westerado"," 7 ","7","15-1"
"2020-06-08","FMT","5","Dirt","Circle Me Bert"," 8 ","8","5-1"
"2020-06-08","FMT","5","Dirt","Therunawayrocket"," 9 ","9","3-1"
"2020-06-08","FMT","5","Dirt","Oklahoma City","10 ","10","8-1"
"2020-06-08","FMT","6","Dirt","Lazzarella"," 1 ","1","8-1"
"2020-06-08","FMT","6","Dirt","Angel's Cut"," 2 ","2","10-1"
"2020-06-08","FMT","6","Dirt","Alex's Bourbon"," 3 ","3","2-1"
"2020-06-08","FMT","6","Dirt","Pretty Britches"," 4 ","4","8-5"
"2020-06-08","FMT","6","Dirt","Tulle"," 5 ","5","3-1"
"2020-06-08","FMT","6","Dirt","Euromandy"," 6 ","6","12-1"
"2020-06-08","FMT","7","Dirt","Tommyhawk"," 1 ","1","8-1"
"2020-06-08","FMT","7","Dirt","Hallies Dream"," 2 ","2","3-1"
"2020-06-08","FMT","7","Dirt","Continental Cowboy"," 3 ","3","15-1"
"2020-06-08","FMT","7","Dirt","Jub"," 4 ","4","20-1"
"2020-06-08","FMT","7","Dirt","Syked Up"," 5 ","5","4-1"
"2020-06-08","FMT","7","Dirt","Im the Man Now"," 6 ","6","7-2"
"2020-06-08","FMT","7","Dirt","Kipper"," 7 ","7","5-1"
"2020-06-08","FMT","7","Dirt","Suprematif"," 8 ","8","20-1"
"2020-06-08","FMT","7","Dirt","Catale Cole Man"," 9 ","9","12-1"
"2020-06-08","FMT","7","Dirt","Justins Omen","10 ","10","10-1"
"2020-06-08","FMT","8","Dirt","Sabebra"," 1 ","1","6-1"
"2020-06-08","FMT","8","Dirt","Gonewiththebreeze"," 2 ","2","7-2"
"2020-06-08","FMT","8","Dirt","Tap and Spin"," 3 ","3","8-1"
"2020-06-08","FMT","8","Dirt","Flat Precious"," 4 ","4","3-1"
"2020-06-08","FMT","8","Dirt","Lady Thunder"," 5 ","5","12-1"
"2020-06-08","FMT","8","Dirt","Scioto's Shoes"," 6 ","6","12-1"
"2020-06-08","FMT","8","Dirt","Primal Past"," 7 ","7","15-1"
"2020-06-08","FMT","8","Dirt","Oh No Wata"," 8 ","8","10-1"
"2020-06-08","FMT","8","Dirt","Hope and a Dream"," 9 ","9","5-1"
"2020-06-08","FMT","8","Dirt","Notable Interest","10 ","10","15-1"
"2020-06-08","FMT","9","Dirt","Twilight Glow"," 1 ","1","3-1"
"2020-06-08","FMT","9","Dirt","Go Kitten"," 2 ","2","5-2"
"2020-06-08","FMT","9","Dirt","Pussycat Pussycat"," 3 ","3","4-1"
"2020-06-08","FMT","9","Dirt","Mia Pandowdy"," 4 ","4","8-1"
"2020-06-08","FMT","9","Dirt","Da Bara"," 5 ","5","5-1"
"2020-06-08","FMT","9","Dirt","Favorite Sister"," 6 ","6","9-2"
"2020-06-08","FMT","9","Dirt","Dirty Dancer"," 7 ","7","15-1"
"2020-06-08","FMT","10","Dirt","Cruisin Cue"," 1 ","1","8-1"
"2020-06-08","FMT","10","Dirt","John Allen"," 2 ","2","7-2"
"2020-06-08","FMT","10","Dirt","Kat Dude"," 3 ","3","12-1"
"2020-06-08","FMT","10","Dirt","A La Omega"," 4 ","4","12-1"
"2020-06-08","FMT","10","Dirt","Western Drawl"," 5 ","5","8-1"
"2020-06-08","FMT","10","Dirt","Eurobadguy"," 6 ","6","10-1"
"2020-06-08","FMT","10","Dirt","Nacogdoches"," 7 ","7","3-1"
"2020-06-08","FMT","10","Dirt","Swannyland"," 8 ","8","5-1"
"2020-06-08","FMT","10","Dirt","Not Today Alfie"," 9 ","9","10-1"
"2020-06-08","FMT","10","Dirt","Talk Gruff","10 ","10","15-1"
"2020-06-08","FMT","11","Dirt","Mr Misleading"," 1 ","1","8-1"
"2020-06-08","FMT","11","Dirt","Sports Minister"," 2 ","2","12-1"
"2020-06-08","FMT","11","Dirt","Mighty Bugsy"," 3 ","3","5-1"
"2020-06-08","FMT","11","Dirt","Kent's Bet"," 4 ","4","4-1"
"2020-06-08","FMT","11","Dirt","Native River"," 5 ","5","5-2"
"2020-06-08","FMT","11","Dirt","Poppy's Oats"," 6 ","6","15-1"
"2020-06-08","FMT","11","Dirt","Crossing Dixie"," 7 ","7","3-1"
"2020-06-08","FMT","11","Dirt","Jenna's Gun Runner"," 8 ","8","8-1"
"2020-06-08","FMT","12","Dirt","Blameitonbeckett"," 1 ","1","15-1"
"2020-06-08","FMT","12","Dirt","A Flicker Ofsilver"," 2 ","2","20-1"
"2020-06-08","FMT","12","Dirt","Natalie's Boy"," 3 ","3","4-1"
"2020-06-08","FMT","12","Dirt","Oklahoma Swing"," 4 ","4","3-1"
"2020-06-08","FMT","12","Dirt","Letsplayagame"," 5 ","5","12-1"
"2020-06-08","FMT","12","Dirt","Situatenshady"," 6 ","6","30-1"
"2020-06-08","FMT","12","Dirt","Midnight Drama"," 7 ","7","10-1"
"2020-06-08","FMT","12","Dirt","Sequence"," 8 ","8","5-2"
"2020-06-08","FMT","12","Dirt","Seven Visions"," 9 ","9","8-1"
"2020-06-08","FMT","12","Dirt","Soul Temptation","10 ","10","8-1"
"2020-06-08","LAD","1","Dirt","Claires Jewel"," 1 ","1","5-1"
"2020-06-08","LAD","1","Dirt","Takilla Shotz"," 2 ","2","5-1"
"2020-06-08","LAD","1","Dirt","St Teresa"," 3 ","3","7-2"
"2020-06-08","LAD","1","Dirt","Red Rebel Star"," 4 ","4","12-1"
"2020-06-08","LAD","1","Dirt","Margie's Rouxbee"," 5 ","5","4-1"
"2020-06-08","LAD","1","Dirt","Beautifulandwild"," 6 ","6","9-2"
"2020-06-08","LAD","1","Dirt","Twn Palmysdestiny"," 7 ","7","3-1"
"2020-06-08","LAD","2","Dirt","Cowgirl Callie"," 1 ","1","9-5"
"2020-06-08","LAD","2","Dirt","Active Girl"," 2 ","2","3-1"
"2020-06-08","LAD","2","Dirt","Born to D' Wild"," 3 ","3","9-2"
"2020-06-08","LAD","2","Dirt","Aloha Kai"," 4 ","4","12-1"
"2020-06-08","LAD","2","Dirt","Emma's Gift"," 5 ","5","12-1"
"2020-06-08","LAD","2","Dirt","Malila"," 6 ","6","15-1"
"2020-06-08","LAD","2","Dirt","Rocking Shoes"," 7 ","7","6-1"
"2020-06-08","LAD","2","Dirt","Go Selma T"," 8 ","8","20-1"
"2020-06-08","LAD","2","Dirt","Carson's Prospect"," 9 ","9","12-1"
"2020-06-08","LAD","3","Dirt","Kenai Cool"," 1 ","1","4-1"
"2020-06-08","LAD","3","Dirt","Little Mercy"," 2 ","2","12-1"
"2020-06-08","LAD","3","Dirt","Posse Gone Wild"," 3 ","3","8-1"
"2020-06-08","LAD","3","Dirt","Mystic Gem"," 4 ","4","8-1"
"2020-06-08","LAD","3","Dirt","Flugel Binder"," 5 ","5","5-1"
"2020-06-08","LAD","3","Dirt","Ashley Astray"," 6 ","6","3-1"
"2020-06-08","LAD","3","Dirt","Cherokee Chatter"," 7 ","7","7-2"
"2020-06-08","LAD","3","Dirt","Custom Cut"," 8 ","8","6-1"
"2020-06-08","LAD","4","Turf","Toni's Star"," 1 ","1","8-1"
"2020-06-08","LAD","4","Turf","Andy Jones"," 2 ","2","6-1"
"2020-06-08","LAD","4","Turf","Puddin's the Man"," 3 ","3","15-1"
"2020-06-08","LAD","4","Turf","Don Guillermo"," 4 ","4","7-2"
"2020-06-08","LAD","4","Turf","A Little Risky"," 5 ","5","12-1"
"2020-06-08","LAD","4","Turf","History Earned"," 6 ","6","20-1"
"2020-06-08","LAD","4","Turf","Chambliss"," 7 ","7","8-1"
"2020-06-08","LAD","4","Turf","Arties Game"," 8 ","8","15-1"
"2020-06-08","LAD","4","Turf","Don Louis"," 9 ","9","9-2"
"2020-06-08","LAD","4","Turf","Fly Guy Rak","10 ","10","20-1"
"2020-06-08","LAD","4","Turf","Boston Bind","11 ","11","3-1"
"2020-06-08","LAD","4","Turf","Tune My Guitar","12 ","12","10-1"
"2020-06-08","LAD","4","Turf","Palmy Sundae","13 ","13","15-1"
"2020-06-08","LAD","5","Dirt","Cryptozonic"," 1 ","1","20-1"
"2020-06-08","LAD","5","Dirt","Went"," 2 ","2","12-1"
"2020-06-08","LAD","5","Dirt","Preacher"," 3 ","3","4-1"
"2020-06-08","LAD","5","Dirt","Daggers Arch"," 4 ","4","9-2"
"2020-06-08","LAD","5","Dirt","Discreet Randy"," 5 ","5","10-1"
"2020-06-08","LAD","5","Dirt","Magi"," 6 ","6","8-1"
"2020-06-08","LAD","5","Dirt","Saber Run"," 7 ","7","30-1"
